# circuit3.txt 
#
# Cascade van 1000 AND-gates
#
# [Deze file is automatisch aangemaakt]
#
#
#
# Description of all the nodes
A:		INPUT_HIGH;
NODE0:		NOT;
NODE1:		NOT;
NODE2:		NOT;
NODE3:		NOT;
NODE4:		NOT;
NODE5:		NOT;
NODE6:		NOT;
NODE7:		NOT;
NODE8:		NOT;
NODE9:		NOT;
NODE10:		NOT;
NODE11:		NOT;
NODE12:		NOT;
NODE13:		NOT;
NODE14:		NOT;
NODE15:		NOT;
NODE16:		NOT;
NODE17:		NOT;
NODE18:		NOT;
NODE19:		NOT;
NODE20:		NOT;
NODE21:		NOT;
NODE22:		NOT;
NODE23:		NOT;
NODE24:		NOT;
NODE25:		NOT;
NODE26:		NOT;
NODE27:		NOT;
NODE28:		NOT;
NODE29:		NOT;
NODE30:		NOT;
NODE31:		NOT;
NODE32:		NOT;
NODE33:		NOT;
NODE34:		NOT;
NODE35:		NOT;
NODE36:		NOT;
NODE37:		NOT;
NODE38:		NOT;
NODE39:		NOT;
NODE40:		NOT;
NODE41:		NOT;
NODE42:		NOT;
NODE43:		NOT;
NODE44:		NOT;
NODE45:		NOT;
NODE46:		NOT;
NODE47:		NOT;
NODE48:		NOT;
NODE49:		NOT;
NODE50:		NOT;
NODE51:		NOT;
NODE52:		NOT;
NODE53:		NOT;
NODE54:		NOT;
NODE55:		NOT;
NODE56:		NOT;
NODE57:		NOT;
NODE58:		NOT;
NODE59:		NOT;
NODE60:		NOT;
NODE61:		NOT;
NODE62:		NOT;
NODE63:		NOT;
NODE64:		NOT;
NODE65:		NOT;
NODE66:		NOT;
NODE67:		NOT;
NODE68:		NOT;
NODE69:		NOT;
NODE70:		NOT;
NODE71:		NOT;
NODE72:		NOT;
NODE73:		NOT;
NODE74:		NOT;
NODE75:		NOT;
NODE76:		NOT;
NODE77:		NOT;
NODE78:		NOT;
NODE79:		NOT;
NODE80:		NOT;
NODE81:		NOT;
NODE82:		NOT;
NODE83:		NOT;
NODE84:		NOT;
NODE85:		NOT;
NODE86:		NOT;
NODE87:		NOT;
NODE88:		NOT;
NODE89:		NOT;
NODE90:		NOT;
NODE91:		NOT;
NODE92:		NOT;
NODE93:		NOT;
NODE94:		NOT;
NODE95:		NOT;
NODE96:		NOT;
NODE97:		NOT;
NODE98:		NOT;
NODE99:		NOT;
NODE100:	NOT;
NODE101:	NOT;
NODE102:	NOT;
NODE103:	NOT;
NODE104:	NOT;
NODE105:	NOT;
NODE106:	NOT;
NODE107:	NOT;
NODE108:	NOT;
NODE109:	NOT;
NODE110:	NOT;
NODE111:	NOT;
NODE112:	NOT;
NODE113:	NOT;
NODE114:	NOT;
NODE115:	NOT;
NODE116:	NOT;
NODE117:	NOT;
NODE118:	NOT;
NODE119:	NOT;
NODE120:	NOT;
NODE121:	NOT;
NODE122:	NOT;
NODE123:	NOT;
NODE124:	NOT;
NODE125:	NOT;
NODE126:	NOT;
NODE127:	NOT;
NODE128:	NOT;
NODE129:	NOT;
NODE130:	NOT;
NODE131:	NOT;
NODE132:	NOT;
NODE133:	NOT;
NODE134:	NOT;
NODE135:	NOT;
NODE136:	NOT;
NODE137:	NOT;
NODE138:	NOT;
NODE139:	NOT;
NODE140:	NOT;
NODE141:	NOT;
NODE142:	NOT;
NODE143:	NOT;
NODE144:	NOT;
NODE145:	NOT;
NODE146:	NOT;
NODE147:	NOT;
NODE148:	NOT;
NODE149:	NOT;
NODE150:	NOT;
NODE151:	NOT;
NODE152:	NOT;
NODE153:	NOT;
NODE154:	NOT;
NODE155:	NOT;
NODE156:	NOT;
NODE157:	NOT;
NODE158:	NOT;
NODE159:	NOT;
NODE160:	NOT;
NODE161:	NOT;
NODE162:	NOT;
NODE163:	NOT;
NODE164:	NOT;
NODE165:	NOT;
NODE166:	NOT;
NODE167:	NOT;
NODE168:	NOT;
NODE169:	NOT;
NODE170:	NOT;
NODE171:	NOT;
NODE172:	NOT;
NODE173:	NOT;
NODE174:	NOT;
NODE175:	NOT;
NODE176:	NOT;
NODE177:	NOT;
NODE178:	NOT;
NODE179:	NOT;
NODE180:	NOT;
NODE181:	NOT;
NODE182:	NOT;
NODE183:	NOT;
NODE184:	NOT;
NODE185:	NOT;
NODE186:	NOT;
NODE187:	NOT;
NODE188:	NOT;
NODE189:	NOT;
NODE190:	NOT;
NODE191:	NOT;
NODE192:	NOT;
NODE193:	NOT;
NODE194:	NOT;
NODE195:	NOT;
NODE196:	NOT;
NODE197:	NOT;
NODE198:	NOT;
NODE199:	NOT;
NODE200:	NOT;
NODE201:	NOT;
NODE202:	NOT;
NODE203:	NOT;
NODE204:	NOT;
NODE205:	NOT;
NODE206:	NOT;
NODE207:	NOT;
NODE208:	NOT;
NODE209:	NOT;
NODE210:	NOT;
NODE211:	NOT;
NODE212:	NOT;
NODE213:	NOT;
NODE214:	NOT;
NODE215:	NOT;
NODE216:	NOT;
NODE217:	NOT;
NODE218:	NOT;
NODE219:	NOT;
NODE220:	NOT;
NODE221:	NOT;
NODE222:	NOT;
NODE223:	NOT;
NODE224:	NOT;
NODE225:	NOT;
NODE226:	NOT;
NODE227:	NOT;
NODE228:	NOT;
NODE229:	NOT;
NODE230:	NOT;
NODE231:	NOT;
NODE232:	NOT;
NODE233:	NOT;
NODE234:	NOT;
NODE235:	NOT;
NODE236:	NOT;
